kalimat,type
"CP 1 : Menguraikan fungsi dan peran manajemen, menjalankan dan mengelola manajemen dalam lingkungan global, membuat keputusan, lingkungan bisnis, kondisi ekonomi, tanggung jawab sosial dalam bisnis dan bentuk dasar dari kepemilikan bisnis. CP 2 : Menjelaskan tantangan bagi manajer global, proses pengambilan keputusan, tujuan dan perencanaan, strategi bersaing, mekanisme dan struktur organisasi, proses produksi, pemasaran dan keuangan. CP 3 : Menganalisis proses merumuskan tujuan dan perencanaan, proses manajemen strategik, perancangan organisasi yang modern, tempat kerja yang berubah, pengembangan kelompok, dan isu-isu terbaru mengenai motivasi, kepemimpinan, tipe-tipe pengendalian, bauran pemasaran, dan manajemen keuangan. CP 4 : Menerapkan proses inovasi, keanekaragaman tempat kerja, tim yang efektif dan komunikasi antar pribadi, teori motivasi dan kepemimpinan yang modern, alat untuk mengukur kinerja organisasi, dan perencanaan keuangan.",cp
1) Dasar-Dasar Manajemen dan Organisasi dalam Manajemen Global 2) Dasar-Dasar Perencanaan dan Manajemen Strategik 3) Dasar-Dasar Pengoordinasian dan Mengelola Perubahan 4) Kepemimpinan dan Motivasi 5) Komunikasi dan Dasar-Dasar Pengendalian 6) Pemahaman Bagaimana Ekonomi Memengaruhi Bisnis dan Tanggung Jawab Perilaku secara Sosial 7) Bagaimana Membentuk suatu Bisnis dan Kewirausahaan Memulai suatu Usaha Kecil 8) Manajemen Produksi dan Operasi 9) Pemasaran: Membantu Pembeli Membeli 10) Manajemen Keuangan,pb
Perancangan Perangkat Lunak,nm
"Pada mata kuliah ini, mahasiswa memahami prinsip-prinsip perancangan perangkat lunak, mampu mengurai kompleksitas pada domain permasalahan, mampu memilih pendekatan yang sesuai dengan domain permasalahan,  mampu memilih arsitektur yang sesuai dengan perangkat lunak yang akan dibangun, mampu menggunakan pola-pola perancangan pada suatu permasalahan perancangan. Mahasiswa bisa membangun model perancangan perangkat lunak yang mampu mengantisipasi perubahan sesuai dengan studi kasus yang diberikan menggunakan pendekatan tertentu.",dm
a.        Mahasiswa mampu menjelaskan prinsip-prinsip perancangan.,cp
"Prinsip-prinsip perancangan perangkat lunak: abstraksi; kopling dan kohesi; dekomposisi dan modularisasi; enkapsulasi; pemisahan antara antarmuka dan implementasi; sufficiency, completeness, dan primitiveness; serta separation of concerns. Isu-isu kunci perancangan perangkat lunak: konkurensi, penanganan event, persistensi data, penanganan error, toleransi terhadap kesalahan, keamanan, dll. Tipe-tipe perangkat lunak. Pendekatan perancangan perangkat lunak: top-down, bottom-up, function-oriented, data structure-centered, object-oriented, dan component-based. Konsep-konsep arsitektur perangkat lunak: client-server, three-tier, Model-View-Controller, dll. Pola-pola perancangan: beberapa pola sesuai dengan permasalahan seperti creational patterns, structural patterns, dan behavioral patterns. Penggunaan kembali kerangka kerja. Perancangan antarmuka.",pb
Perencanaan Strategis Sistem Informasi,nm
"Langkah pertama yang harus dilakukan oleh organisasi semacam perusahaan untuk memastikan teknologi informasi memberikan manfaat adalah dengan melakukan perencanaan strategis sistem dan teknologi informasinya. Dokumen formal ini akan menjadi acuan seluruh pemangku kepentingan dalam membangun, merancang, menerapkan, mengawasi, maupun menilai Drsistem dan teknologi informasi. Mata kuliah ini mengajarkan langkah-langkah metodologis yang harus dilakukan dalam rangka pengembangan dokumen Rencana Strategis Sistem dan Teknologi Informasi atau ""IT Master Plan”.",dm
•Menjelaskan akan penting dan kritikalnya keberadaan dokumen Rencana Strategis Sistem dan Teknologi Informasi.,cp
1.Pemahaman mengenai Rencana Strategis Sistem Informasi  2.Evolusi Perkembangan Sistem dan Teknologi Informasi dalam Organisasi  3.Pendifinisian Kebutuhan dan Strategi Bisnis  4.Pengembangan Strategi Sistem dan Teknologi Informasi  5.Analisa Strategi: Pemahaman Situasi Termutakhir  6.Analisa Strategi: Penentuan Target Masa Depan  7.Tata Kelola Portofolio Manajemen Aplikasi  8.Manajemen Strategi Sistem dan Teknologi Informasi  9.Eksplorasi Variasi Pendekatan Sistem dan Teknologi Informasi   10.Pengelolaan Ketersediaan Teknologi Informasi  11.Manajemen Informasi dan Pengetahuan  12.Perencanaan Strategis ke Depan,pb
Research Statistic,nm
"Mata Kuliah Research Statistic membekali mahasiswa kemampuan untuk menganalisis data baik data hasil penelitian ataupun data lainnya, misalnya nilai siswa.",dm
"Setelah Mengikuti Perkuliahan Research Statistic, mahasiswa diharapkan:",cp
"Mata Kuliah ini memuat materi Statistik dan statistika Pendidikan, Data Statistik, Distribusi Frekuesni, Ukuran Pemusatan, Ukuran Letak dan Ukuran Penyebaran, Distribusi Sampling dan Teori Menaksir, Hipotesis, Uji Rata-rata, Uji t, Regresi Linier, dan ANAVA.",pb
Sistem Dan Teknologi Informasi Pendidikan,nm
"Peranan teknologi informasi bagi perguruan tinggi sangatlah strategis dan kritikal. Keberadaannya tidaklah sekedar memberikan manfaat terkait dengan efisiensi, transparansi, efektivitas, maupun pengendalian, namun lebih jauh lagi berupa kemungkinan bagi kampus untuk bermetamorfosa atau bertransformasi menjadi sebuah institusi moderen dengan paradigma baru. Mata kuliah ini berisi konsep dan aplikasi terkait dengan perencanaan, perancangan, penerapan, pengembangan, dan penilaian teknologi informasi dalam konteks kebutuhan perguruan tinggi. Para peserta didik yang mengikuti mata kuliah ini diharapkan memiliki kemampuan dalam mendesain dan mengelola penerapan teknologi informasi untuk meningkatkan kinerja kampus dalam menjalankan tri darma-nya.",dm
1. Menjelaskan secara detail peranan dan fungsi strategis TIK bagi perguruan tinggi,cp
"Terdapat 14 (empat belas) pokok bahasan yang harus dikuasai secara penuh oleh peserta didik, masing-masing adalah sebagai berikut:  1. PERANAN TIK DALAM DUNIA PENDIDIKAN  2. KONTEKS TIK DALAM PENDIDIKAN TINGGI  3. KERANGKA ARSITEKTUR TIK DALAM KAMPUS  4. PENGUKURAN KINERJA TIK PERGURUAN TINGGI  5. MANAJEMEN TATA KELOLA TIK DI PERGURUAN TINGGI  6. MENANAMKAN BUDAYA TIK DI KAMPUS  7. TIK DAN PARADIGMA PENDIDIKAN ABAD XXI  8. FENOMENA OPEN COURSEWARE  9. MENGADOPSI PERGESERAN PARADIGMA PENDIDIKAN  10. KEKAYAAN KONTEN DI DUNIA MAYA  11. KONSEP OPEN EDUCATION DAN TANTANGANNYA  12. MENGGALI MANFAAT OPEN EDUCATION  13. INSTRUMEN EVALUASI ADOPSI TEKNOLOGI INFORMASI  14. STRATEGI IMPLEMENTASI E-LEARNING",pb
Sistem Keamanan Informasi dan Internet,nm
"Mata Kuliah Manajemen Keamanan Informasi dan Internet  ini diperuntukkan bagi mereka yang ingin mendalami manajemen keamanan informasi dan internet. Internet telah menjadi bagian tak terpisahkan dari masyarakat moderen dewasa ini. Bahkan bagi generasi yang lahir setelah tahun 1995, internet telah membentuk sebuah dunia tersendiri seperti layaknya bumi di tempat manusia berada. Dalam dunia maya ini, melalui beraneka ragam peralatan teknologi informasi dan komunikasi, para individu maupun kelompok-kelompok masyarakat saling berinteraksi, bertukar pikiran, dan berkolaborasi untuk melakukan sejumlah aktivitas kehidupan.",dm
Capaian Pembelajaran,cp
Sistem Operasi,nm
#NAME?,dm
1.  Mahasiswa mampu memahamikonsep dasar sistem operasi 2.  Mahasiswa mampu memahami komponendan teknologi sistem operasi 3.  Mahasiswa mampu menjelaskan fungsi sistem operasi 4.  Mahasiswa mampu mengembangkan pengetahuan 5.  Mahasiswa dapat mengkonfigurasi dan mengelola berbagai macam sistem operasi,cp
"Sistem Komputer: Pengertian dan FungsiSistemOperasiKomputer, Konsep-konsepSistemOperasi, StrukturSistem Operasi, Layanan, Kegiatan, dan JenissistemOperasi, SejarahPerkembanganSistemOperasi,Manajemen Proses:Model Proses, Ststus Proses, ImplementasiSistem, KomunikasiAntar Proses, Proses DalamSistemTerdistribusi, Teknik Penjadwalan Proses: Preemptive Scheduling, Non-preemtive Scheduling, TeknikPenjadwalanSatu Tingkat, TeknikPenjadwalanMultitingkat, MetodeEvaluasiPenjadwalan, Manajemen Memori: Pengertiandan JenisMemori, AlamatMemori, Isi Memori, ManajemenMemoritanpa Swapping atau Paging, Multiprogramming denganPartisiStatis, Swapping, AnalisisSistem Swap, Virtual Memori, AlgoritmaPenempatan page, DesainSistem Paging, ImplementasiSegmentasi, Manajemen File: File, Directory,ImplementasiSistem File, Pengamanan File, User Authentication,  Installasi, konfigurasi dan mengelola Sistem Operasi: Windows, Linux, JavaVirtual Machine.",pb
Dasar Pemrograman Web 2.0,nm
Dasar pemrograman web 2.0,dm
CSS	Javascript	HTML 5,pb
Teknologi Antar Jaringan,nm
TAJ mengajarkan OSPF,dm
Mahasiswa mampu meraih nilai A,cp
Jaringan,pb
Sistem Temu Kembali Informasi,nm
Sistem Temu Kembali Informasi (STKI) merupakan mata kuliah yang membahas tentang sistem yang dapat menemukan kembali koleksi informasi digital yang penyimpanannya tak terstruktur dan memberikan informasi yang relevan bagi kebutuhan user.,dm
"Mahasiswa mampu menjelaskan berbagai konsep, teori, istilah dalam berbagai macam model sistem temu kembali informasi beserta pengaplikasiannya. Mahasiswa mengimplementasikan teknik-teknik penyelesaian masalah seperti pengindeksan, pencarian, pemrosesan query dalam kebutuhan temu kembali informasi. Mahasiswa mampu mengembangkan sistem yang dapat menemukan dokumen yang relevan dengan kebutuhan pengguna dengan menerapkan prinsip-prinsip dan algoritma yang efektif dan efisien dalam pemilihan dokumen.",cp
"Mahasiswa akan mempelajari teknik-teknik pengolahan data teks untuk menemukan kembali informasi pada data berbentuk teks. Bahasan perkuliahan meliputi pengolahan awal, ekstraksi fitur, penghitungan tingkat kemiripan teks sesuai masukan query, dan menampilkan hasil pencarian. Bahasan lanjut adalah teknik relevance feedback, klasifikasi dan klasterisasi teks untuk membantu pengguna dalam pencarian. Mahasiswa akan merancang, menganalisis serta mengaplikasikan metode-metode sistem temu kembali informasi pada berbagai permasalahan nyata baik secara mandiri atau kerjasama tim.",pb
Perancangan Perangkat Lunak,nm
"This topic discusses about general design concept,  context of software design, software design processes, and software design princiles. Design is defined as both “the process of defining the architecture, components, interfaces, and other characteristics of a system or component” and “the result of [that] process” [1]. Viewed as a process, software design is the software engineering life cycle activity in which software requirements are analyzed in order to produce a description of the software’s internal structure that will serve as the basis for its construction. A software design (the result) describes the software architecture, that is, how software is decomposed and organized into components, and the interfaces between those components. It should also describe the components at a level of detail that enables their construction.",dm
Keamanan Informasi: Melindungi Informasi Anda di Era Digital,nm
"Kita kini sudah berada di era informasi dimana siapa yang menguasai informasi adalah pemenangnya. Dalam kehidupan sehari-hari pemanfaatan teknologi informasi sudah menjadi bagian dari kehidupan kita. Sebagai contoh, kita sudah tidak dapat dipisahkan lagi dari handphone. Namun, pemanfaatan teknologi informasi ini mengandung risiko. Penyalahgunaan teknologi informasi mengakibatkan fraud dan kejahatan-kejahatan lainnya. Kursus ‘Keamanan Informasi: Melindungi Informasi Anda di Era Digital’ akan memberi contoh berbagai ancaman pemanfaatan teknologi informasi. Prinsip-prinsip keamanan informasi akan dibahas dalam kursus ini. Kursus ini akan dibawakan oleh Ir. Budi Rahardjo, M.Sc., Ph.D., Dosen Sekolah Teknik Elektro dan Informatika Institut Teknologi Bandung (STEI ITB).",dm
"Melalui kursus ini, siswa diharapkan memahami pentingnya pengamanan informasi. Selain itu, siswa diharapkan menguasai prinsip-prinsip keamanan informasi dan mengetahui cara mengamankan informasi dengan menggunakan berbagai kendali.",cp
MINGGU 1 Pemanfaatan Teknologi Informasi. MINGGU 2 Ancaman-ancaman terhadap Penggunaan Teknologi Informasi. MINGGU 3 Prinsip-prinsip Keamanan Informasi – Part 1. MINGGU 4 Prinsip-prinsip Keamanan Informasi – Part 2.,pb
Dasar Pemrograman Untuk Pemula (Part 1),nm
"Selamat datang di kelas Dasar Pemrograman Bagian Pertama. Pada kelas pemrograman ini akan dibahas perlahan dan lengkap beserta Video untuk Praktikum. Sehingga, anda bisa menjadi programmer yang mengerti tentang teori fundamental dari nol, bukan menjadi seorang programer Praktis karena terdapat tutorial dengan materi yang mendalam ditiap kelasnya dibandingkan perkuliahan lainnya. Tujuan dari kelas ini adalah mempelajari dasar pemrograman, hingga mampu membuat aplikasi sederhana. Bahasa pengantar dalam kelas Dasar pemrograman ini adalah menggunakan Visual C#. Mahasiswa bisa menggunakan Visual C# 2010, 2012 ataupun 2013. Untuk kalian yang otodidak belajar pemrograman tidak perlu khawatir. Dengan kelas pemrograman ini anda bisa belajar sama seperti orang yang kuliah di Bidang Komputer. Materi yang ada di dalam kelas ini adalah sebagai berikut: Pertemuan #1: Introduction Pertemuan #2: Dasar membuat Program Pertama Pertemuan #3: Tipe Data Pertemuan #3: Logika Pemrograman Pertemuan #4: Looping/Perulangan. Salam kenal untuk para mahasiswa/pelajar yang sudah terdaftar di kelas ini. Bersama saya Agung Riyadi, untuk kedepanya saya akan memberikan bimbingan di kelas dasar pemrograman ini. Mohon maaf atas segala kekurangan dalam kelas in, semoga memberikan banyak manfaat Akhir kata, Terima Kasih.",dm
Mempelajari Materi Dasar Pemrograman Untuk Pemula (Part 1). Mengerjakan Test Dasar Pemrograman Untuk Pemula (Part 1).,pb
Aljabar linier,nm
Topik-topik yang dibahas meliputi Sistem persamaan linier dan matriks; Determinan; Ruang vektor; Ruang hasil kali dalam; Nilai eigen dan vektor eigen; Transformasi linier; Ruang vektor kompleks.,dm
Sistem Operasi,nm
"Dalam kuliah ini akan dibahas organisasi, struktur dan konsep-konsep dari sistem pengoperasian komputer. Topik-topik yang akan dibahas meliputi Pendahuluan: sejarah, konsep dasar, dan struktur; Proses: model, interprocess communication, schedulling; Memory Management: swapping, virtual memory, page replacement, paging, working set model, segmentation; File System: file and directory, implementation, security, protection; Input/Output; Deadlock; Distributed Systems.",dm
Matematika Diskret,nm
"Topik-topik yang akan dibahas meliputi: Relasi beserta sifat-sifat dan aplikasinya, Penutup relasi, Relasi ekivalen, Terurut parsial, Terurut total, Relasi rekurensi, fungsi Pembangkit, Graf, Isomorfisma graf, Keterhubungan graf, Komponen, Lintasan, Sirkuit, Lintasan dan Sirkuit Euler, Lintas dan Sirkuit Hamilton, Lintasan Terpendek, Graf Planar, Pewarnaan graf, Pohon, Hutan, Pohon perentang, Pohon perentang minimum, cut set.",pb
Perancangan Sistem Informasi,nm
This course focuses on the Analysis and Design for Information Systems (ADIS). It involves understanding of how to develop an Information Systems (IS) that can support organizations in order to achieve their goals by delivering benefits. The development of IS should be an integrated approaches within the organization. The course will deal with how to develop Information Systems so that it can improve the competitiveness of an organization. This course will explore the business function and how to manage the requirement to support the business function.,dm
komputasi dalam objek python iv dan algoritma,nm
"lengkapi pengetahuan pengantar Anda tentang ilmu komputer dengan kursus terakhir ini pada objek dan algoritme. sekarang Anda telah belajar tentang struktur kontrol yang kompleks dan struktur data belajar untuk mengembangkan program yang lebih intuitif memanfaatkan pemahaman alamiah Anda tentang masalah melalui pemrograman berorientasi objek. kemudian belajar menganalisa kompleksitas dan efisiensi program-program ini melalui algoritma. Selain itu, beri tahukan pengetahuan Anda yang lebih luas tentang pengantar komputasi dengan ujian komprehensif. Pada akhir kursus ini, Anda akan dapat menulis program dalam python yang memanfaatkan pemahaman Anda yang lebih alami tentang struktur data dengan membuat objek untuk merepresentasikan struktur tempat Anda bekerja dengan sebagian besar sering. misalnya jika Anda membuat aplikasi daftar kelas, Anda akan belajar cara membuat objek yang mewakili nomor id dan nomor absensi siswa. maka Anda akan dapat membuat aplikasi yang memanfaatkan penyortiran dan pencarian algoritme untuk mengurutkan daftar tersebut menurut abjad mencari siswa tertentu dan mengevaluasi efisiensi kedua operasi tersebut. Secara struktural, pelatihan ini terdiri dari beberapa bagian. instruksi disampaikan melalui serangkaian video pendek 2 3 menit. di antara video-video itu Anda akan menyelesaikan dua pertanyaan pilihan ganda dan masalah pengkodean untuk menunjukkan pengetahuan Anda tentang materi yang baru saja dibahas. latihan ini dihitung untuk 20 nilai Anda. kemudian setelah setiap bab besar Anda akan menyelesaikan satu set masalah dengan mengumpulkan lebih banyak masalah yang menantang. ini dihitung untuk 40 nilai Anda. akhirnya Anda akan menyelesaikan ujian akhir yang berarti 40 nilai yang tersisa.",dm
bekerja dengan contoh objek di python. membuat struktur data baru menggunakan pemrograman berorientasi objek. menggunakan objek dengan kontrol dan struktur data sebelumnya. menulis algoritma pencarian umum seperti pencarian linear dan biner. menulis algoritma penyortiran umum seperti semacam penyisipan semacam gelembung dan menggabungkan semacam. mengevaluasi kompleksitas komputasional dari algoritma menggunakan notasi o besar.,cp
komputasi dalam struktur kontrol python ii,nm
"membangun pengetahuan Anda sebelumnya tentang variabel dan operator kursus ini masuk ke dalam daging pemrograman. disusun dalam lima bab kursus ini dimulai dengan mencakup dasar-dasar struktur kontrol apa dan apa yang mereka lakukan kemudian pindah ke empat struktur kontrol umum di python. conditional memungkinkan Anda memodifikasi apa yang dilakukan program Anda berdasarkan nilai variabel yang masuk. loop memungkinkan Anda mengulang tugas untuk beberapa nilai atau saat kondisi tertentu berlaku. fungsi memungkinkan Anda merangkum penalaran kompleks ke dalam potongan kode yang dapat digunakan kembali. penanganan kesalahan memungkinkan Anda secara cerdas pulih dari gangguan yang diantisipasi dan tidak diantisipasi. Pada akhir kursus ini, Anda akan dapat menulis program-program rumit dalam python yang melakukan penalaran yang berguna. misalnya Anda dapat menulis program yang menghitung berat Anda di planet lain menghitung deviasi standar dari serangkaian angka atau memeriksa validitas kata sandi yang masuk. Secara struktural, pelatihan terdiri dari beberapa bagian. instruksi disampaikan melalui serangkaian video pendek 2 3 menit. di antara video-video itu Anda akan menyelesaikan dua pertanyaan pilihan ganda dan masalah pengkodean untuk menunjukkan pengetahuan Anda tentang materi yang baru saja dibahas.",dm
bagaimana struktur kontrol dapat mempengaruhi bagaimana garis kode lain dijalankan. conditionals termasuk jika lain jika dan lain untuk alasan yang kompleks. loop termasuk untuk loop untuk masing-masing loop dan sementara loop untuk perilaku berulang. fungsi untuk mengenkapsulasi kode menjadi potongan yang dapat digunakan kembali. penanganan kesalahan untuk mengantisipasi dan menyelesaikan kesalahan yang diharapkan.,cp
komputasi dalam struktur data python iii,nm
